ID;JPtitle;ENtitle;JPdesc;ENdesc
A1;はじめての「編成」！;첫 편성;2隻以上の艦で編成される「艦隊」を編成せよ！;한 함대에 군함 2척 배치
A2;「駆逐隊」を編成せよ！;구축함 편성 ;駆逐艦4隻以上で編成される「駆逐隊」を編成せよ！;한 함대에 구축함 4척 배치
A3;「水雷戦隊」を編成せよ！;수뢰전대 편성 ;軽巡洋艦を旗艦とし、数隻の駆逐艦で構成される「水雷戦隊」を編成せよ！;기함을 경순양함으로 하고 구축함 1~5척을 넣어 배치
A4;6隻編成の艦隊を編成せよ！;6척 편성;全6隻で構成される主力艦隊を編成せよ！;함대에 종류 상관없이 군함 6척 배치
A5;軽巡2隻を擁する隊を編成せよ！;경순양함 배치;軽巡洋艦2隻を擁する高速艦隊を編成せよ！;경순양함 2척 함대 배치
A6;第2艦隊を編成せよ！;제2함대 배치;二つ目の艦隊、第2艦隊の旗艦を指定して、第2艦隊を編成せよ！;종류에 관계 없이 2함대 편성
A7;「重巡戦隊」を編成せよ！;중순양함 편성;重巡洋艦2隻を擁する重巡艦隊を編成せよ！;중순양함 2척을 넣은 함대 편성
A8;「天龍」型軽巡姉妹の全2艦を編成せよ！;텐류형 경순양함 2척 편성;天龍型軽巡洋艦「天龍」「龍田」を同一艦隊に配属せよ！;텐류와 타츠타를 같은 함대에 배치
A9;「水上機母艦」を配備せよ！;수상기모함 배치;多数の水上偵察機を運用する「水上機母艦」を艦隊に配備せよ！;치토세와 치요다 중 1대를 함대에 배치
A10;「第六駆逐隊」を編成せよ！;제6구축함대 편성;「暁」「響」「雷」「電」4隻による第六駆逐隊を編成せよ！;아카츠키, 히비키, 이카즈치, 이나즈마 4척으로 함대를 편성
A11;第2艦隊で空母機動部隊を編成せよ！;제2함대 공모기동부대 편성;第2艦隊に空母を配備して、空母機動部隊を編成せよ！;정규공모나 경공모 중 하나를 기함으로 하고 구축함 3척을 제2함대에 넣어 편성
A12;空母機動部隊を編成せよ！;공모기동부대 편성;空母1隻以上を旗艦とし、その護衛艦艇と共に、空母機動部隊を編成せよ！;정규공모나 경공모 중 하나를 기함으로 하고 구축함 3척을 함대에 넣어 편성
A13;戦艦と重巡による主力艦隊を編成せよ！;전함과 중순양함으로 주력함대 편성;戦艦1隻以上、重巡2隻以上を主力とした水上打撃艦隊を編成せよ！;전함 1척과 중순양함 2척을 넣은 함대를 편성
A14;「川内」型軽巡姉妹の全3艦を編成せよ！;센다이형 경순양함 자매 3척 함대 편성;川内型軽巡洋艦、「川内」「神通」「那珂」を同一艦隊に編成せよ！;센다이, 진츠, 나카를 같은 함대에 배치
A15;「妙高」型重巡姉妹の全4隻を編成せよ！;묘우코우형 중순양함 자매 4척 함대 편성;妙高型重巡洋艦「妙高」「那智」「足柄」「羽黒」を同一艦隊に配属せよ！;묘우코우, 나치, 아시가라, 하구로를 같은 함대에 배치
A16;「金剛」型による高速戦艦部隊を編成せよ！;콩고형 고속전함부대 편성;金剛型戦艦「金剛」「比叡」「榛名」「霧島」全4隻の高速戦艦を集中配備せよ！;콩고, 히에이, 하루나, 키리시마를 같은 함대에 배치
A17;「扶桑」型戦艦姉妹の全2隻を編成せよ！;후소우형 전함 자매 2척 편성;扶桑型戦艦「扶桑」「山城」を同一艦隊に配属せよ！;후소우, 야마시로를 같은 함대에 배치
A18;「伊勢」型戦艦姉妹の全2隻を編成せよ！;이세형 전함 자매 2척 편성;伊勢型戦艦「伊勢」「日向」を同一艦隊に配属せよ！;이세, 휴우가를 같은 함대에 배치
A19;「南雲機動部隊」を編成せよ！;나구모 기동부대 편성;一航戦「赤城」「加賀」二航戦「飛龍」「蒼龍」からなる第一機動部隊を編成せよ！;아카기, 카가, 히류, 소류만으로 함대 편성
A20;「三川艦隊」を編成せよ！;미카와 함대 편성;「鳥海」「青葉」「加古」「古鷹」「天龍」を含む高速艦隊を編成せよ！;쵸우카이, 아오바, 카코, 후루타카, 텐류와 고속함 1척으로 함대 편성
A21;「第四戦隊」を編成せよ！;제4전대 편성;「愛宕」「高雄」「鳥海」「摩耶」を基幹とした第四戦隊を編成せよ！;아타고, 타카오, 쵸우카이, 마야를 함대 배치
A22;「西村艦隊」を編成せよ！;니시무라 함대 편성;「扶桑」「山城」「最上」「時雨」を基幹とした西村艦隊を編成せよ！;후소우, 야마시로, 모가미, 시구레를 함대에 배치
A23;「第五航空戦隊」を編成せよ！;제5항공전대 편성;「翔鶴」「瑞鶴」を基幹とし、駆逐艦2隻を加えた第五航空戦隊を編成せよ！;쇼우카쿠, 즈이카쿠와 구축함 2척을 함대에 배치
A24;新「三川艦隊」を編成せよ！;신 미카와 함대 편성;「鳥海」「青葉」「衣笠」「加古」「古鷹」「天龍」からなる三川艦隊を編成せよ！;쵸우카이, 아오바, 키누가사, 카코, 후루타카, 텐류를 함대에 배치
A25;潜水艦隊を編成せよ！;잠수함대 편성;伊号潜水艦2隻からなる潜水艦隊を編成せよ！;이168, 이58, 이19, 이8, 이401 중 2척을 함대에 배치
A26;航空水上打撃艦隊を編成せよ！;항공수상타격함대 편성;航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊を編成せよ！;항공전함 2척, 항공순양함 2척을 함대에 배치
A27;中規模潜水艦隊を編成せよ！;중간규모의 잠수함 함대 편성;伊号潜水艦3隻以上からなる潜水艦隊を編成せよ！;잠수함 3척을 같은 함대에 배치(잠수공모도 가능)
A28;「第六戦隊」を編成せよ！;제6전대 편성;「古鷹」「加古」「青葉」「衣笠」を基幹とした第六戦隊を編成せよ！;후루타카, 카코, 아오바,키누가사를 함대에 배치
A29;「第5艦隊」を編成せよ！;제5함대 편성;「那智」「足柄」「多摩」「木曾」を中核とした「第五艦隊」を編成せよ！;나치, 아시가라, 타마, 키소를 함대에 배치
A30;「第1水雷戦隊」を編成せよ！;제1수뢰전대 편성;「阿武隈」「曙」「潮」「霞」「不知火」を中核とした「第1水雷戦隊」を編成せよ！;아부쿠마, 아케보노, 우시오, 카스미, 시라누이를 함대에 배치
A31;「第八駆逐隊」を編成せよ！;제8구축함대 편성;「朝潮」「満潮」「大潮」「荒潮」4隻による第八駆逐隊を編成せよ！;아사시오, 미치시오, 오오시오, 아라시오를 함대에 배치
A32;「第十八駆逐隊」を編成せよ！;제18구축함대 편성;「霞」「霰」「陽炎」「不知火」4隻による第十八駆逐隊を編成せよ！;카스미, 아라레, 카게로우, 시라누이를 함대에 배치
A33;「第三十駆逐隊(第一次)」を編成せよ！;제30구축대(제1차)를 편성하라!;「睦月」「如月」「弥生」「望月」4隻による第三十駆逐隊(第一次)を編成せよ！;「 무츠키」 「키사라기」 「야요이」 「모치즈키」 4척만으로 구성된 30구축대를 편성하라!
B1;はじめての「出撃」！;첫 출격!;艦隊を出撃させ、敵艦隊と交戦せよ！;승패와 관계 없이 전투 1회 수행
B2;鎮守府正面海域を護れ！;진수부 정면 해역을 지켜라!;鎮守府正面海域に艦隊を出撃させ、敵艦の跋梁を阻止せよ！;진수부 해역에서 전투 1회 수행
B3;第2艦隊、出撃せよ！;제2함대 출격;新たに編成した「第2艦隊」を出撃せよ！;승패와 관계 없이 2함대로 전투 1회 수행
