長門,나가토
長門改,나가토 改
陸奥,무츠
陸奥改,무츠 改
伊勢,이세
伊勢改,이세 改
日向,휴가
日向改,휴가 改
雪風,유키카제
雪風改,유키카제 改
赤城,아카기
赤城改,아카기 改
加賀,카가
加賀改,카가 改
蒼龍,소류
蒼龍改,소류 改
飛龍,히류
飛龍改,히류 改
島風,시마카제
島風改,시마카제 改
吹雪,후부키
吹雪改,후부키 改
白雪,시라유키
白雪改,시라유키 改
初雪,하츠유키
初雪改,하츠유키 改
深雪,미유키
深雪改,미유키 改
叢雲,무라쿠모
叢雲改,무라쿠모 改
磯波,이소나미
磯波改,이소나미 改
綾波,아야나미
綾波改,아야나미 改
敷波,시키나미
敷波改,시키나미 改
大井,오오이
大井改,오오이 改
大井改二,오오이 改2
北上,키타카미
北上改,키타카미 改
北上改二,키타카미 改2
金剛,콩고
金剛改,콩고 改
金剛改二,콩고 改2
比叡,히에이
比叡改,히에이 改
比叡改二,히에이 改2
榛名,하루나
榛名改,하루나 改
霧島,키리시마
霧島改,키리시마 改
鳳翔,호쇼
鳳翔改,호쇼 改
扶桑改,후소
扶桑改,후소 改
山城,야마시로
山城改,야마시로 改
天龍,텐류
天龍改,텐류 改
龍田,타츠타
龍田改,타츠타 改
龍驤,류죠
龍驤改,류죠 改
睦月,무츠키
睦月改,무츠키 改
如月,키사라기
如月改,키사라기 改
皐月,사츠키
皐月改,사츠키 改
文月,후미즈키
文月改,후미즈키 改
長月,나가츠키
長月改,나가츠키 改
菊月,키쿠즈키
菊月改,키쿠즈키 改
三日月,미카즈키
三日月改,미카즈키 改
望月,모치즈키
望月改,모치즈키 改
球磨,쿠마
球磨改,쿠마 改
多摩,타마
多摩改,타마 改
木曾,키소
木曾改,키소 改
木曾改二,키소 改2
長良,나가라
長良改,나가라 改
五十鈴,이스즈
五十鈴改,이스즈 改
五十鈴改二,이스즈 改2
名取,나토리
名取改,나토리 改
由良,유라
由良改,유라 改
川内,센다이
川内改,센다이 改
神通,진츠
神通改,진츠 改
那珂,나카
那珂改,나카 改
那珂改二,나카 改2
千歳,치토세
千歳改,치토세 改
千歳甲,치토세 甲
千歳航,치토세 航
千歳航改,치토세 航改
千歳航改二,치토세 航改2
千代田,치요다
千代田改,치요다 改
千代田甲,치요다 甲
千代田航,치요다 航
千代田航改,치요다 航改
千代田航改二,치요다 航改2
最上,모가미
最上改,모가미 改
古鷹,후루타카
古鷹改,후루타카 改
加古,카코
加古改,카코 改
青葉,아오바
青葉改,아오바 改
妙高,묘코
妙高改,묘코 改
那智,나치
那智改,나치 改
足柄,아시가라
足柄改,아시가라 改
羽黒,하구로
羽黒改,하구로 改
高雄,타카오
高雄改,타카오 改
愛宕,아타고
愛宕改,아타고 改
摩耶,마야
摩耶改,마야 改
鳥海,쵸우카이
鳥海改,쵸우카이 改
利根,토네
利根改,토네 改
筑摩,치쿠마
筑摩改,치쿠마 改
飛鷹,히요
飛鷹改,히요 改
隼鷹,준요
隼鷹改,준요 改
朧,오보로
朧改,오보로 改
曙,아케보노
曙改,아케보노 改
漣,사자나미
漣改,사자나미 改
潮,우시오
潮改,우시오 改
暁,아카츠키
暁改,아카츠키 改
響,히비키
響改,히비키 改
ヴェールヌイ,Верный
雷,이카즈치
雷改,이카즈치 改
電,이나즈마
電改,이나즈마 改
初春,하츠하루
初春改,하츠하루 改
子日,네노히
子日改,네노히 改
若葉,와카바
若葉改,와카바 改
初霜,하츠시모
初霜改,하츠시모 改
白露,시라츠유
白露改,시라츠유 改
時雨,시구레
時雨改,시구레 改
時雨改二,시구레 改2
村雨,무라사메
村雨改,무라사메 改
夕立,유다치
夕立改,유다치 改
夕立改二,유다치 改2
五月雨,사미다레
五月雨改,사미다레 改
涼風,스즈카제
涼風改,스즈카제 改
朝潮,아사시오
朝潮改,아사시오 改
大潮,오오시오
大潮改,오오시오 改
満潮,미치시오
満潮改,미치시오 改
荒潮,아라시오
荒潮改,아라시오 改
霰,아라레
霰改,아라레 改
霞,카스미
霞改,카스미 改
陽炎,카게로우
陽炎改,카게로우 改
不知火,시라누이
不知火改,시라누이 改
黒潮,쿠로시오
黒潮改,쿠로시오 改
祥鳳,쇼호
祥鳳改,쇼호 改
翔鶴,쇼카쿠
翔鶴改,쇼카쿠 改
瑞鶴,즈이카쿠
瑞鶴改,즈이카쿠 改
鬼怒,키누
鬼怒改,키누 改
阿武隈,아부쿠마
阿武隈改,아부쿠마 改
夕張,유바리
夕張改,유바리 改
瑞鳳,즈이호
瑞鳳改,즈이호 改
三隈,미쿠마
三隈改,미쿠마 改
初風,하츠카제
初風改,하츠카제 改
舞風,마이카제
舞風改,마이카제 改
衣笠,키누가사
衣笠改,키누가사 改
伊19,이-19
伊19改,이-19 改
鈴谷,스즈야
鈴谷改,스즈야 改
熊野,쿠마노
熊野改,쿠마노 改
伊168,이-168
伊168改,이-168 改
伊58,이-58
伊58改,이-58 改
伊8,이-8
伊8改,이-8 改
大和,야마토
大和改,야마토 改
秋雲,아키구모
秋雲改,아키구모 改
夕雲,우유구모
夕雲改,유우구모 改
巻雲,마키구모
巻雲改,마키구모 改
長波,나가나미
長波改,나가나미 改
阿賀野,아가노
阿賀野改,아가노 改
能代,노시로
能代改,노시로 改
武蔵,무사시
武蔵改,무사시 改
まるゆ,마루유
まるゆ改,마루유 改
伊401,이-401
伊401改,이-401 改
衣笠,키누가사
衣笠改,키누가사
衣笠改二,키누가사 改2
扶桑,후소
扶桑改,후소 改
矢矧,야하기
矢矧改,야하기 改
あきつ丸,아키츠마루
あきつ丸改,아키츠마루 改
大鳳,다이호
大鳳改,다이호 改
イオナ,이오나
タカオ,타카오
ハルナ,하루나
弥生,야요이
弥生改,야요이 改
卯月,우즈키
卯月改,우즈키 改
